domain,reachable,tls_versions,preferred_cipher,cert_subject_cn,cert_issuer,sig_alg,key_type,key_size,valid_from,valid_to,validity_days,ocsp_stapling,errors
sister-neia.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
paragould.k12.ar.us,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,paragould.k12.ar.us,R12,sha256WithRSAEncryption,RSA,2048,9/21/2025,12/20/2025,90,unknown,
ug7772.cloud,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
pyropartenope.it,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,pyropartenope.it,R13,sha256WithRSAEncryption,RSA,2048,10/17/2025,1/15/2026,90,unknown,
pgdservis.ru,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,pgdservis.ru,R13,sha256WithRSAEncryption,RSA,2048,10/13/2025,1/11/2026,90,unknown,
njfjzmx.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,zhanqunyi.tiandicms.com,R12,sha256WithRSAEncryption,RSA,2048,11/3/2025,2/1/2026,90,unknown,
jsthzdh.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,zhanqunyi.tiandicms.com,R12,sha256WithRSAEncryption,RSA,2048,11/3/2025,2/1/2026,90,unknown,
goodwill.com.tw,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,gwinstek.com,R12,sha256WithRSAEncryption,RSA,2048,10/26/2025,1/24/2026,90,unknown,
kawaguchiauto.jp,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,www.kawaguchiauto.jp,R12,sha256WithRSAEncryption,RSA,2048,11/6/2025,2/4/2026,90,unknown,
hangzhou2022.cn,FALSE,,,,,,,,,,,,timed out
eurocreditreview.com,FALSE,,,,,,,,,,,,_ssl.c:993: The handshake operation timed out
xfin.me,FALSE,,,,,,,,,,,,timed out
solartrackingsystem.net,FALSE,,,,,,,,,,,,timed out
ddnscloud.eu,FALSE,,,,,,,,,,,,timed out
chockopongway.org,FALSE,,,,,,,,,,,,timed out
